Company name,Amount (millions),Date,Industry,City,State,Lead Investor,Company description,Round Type
Fiveable,0.615,1/8/2020,Business Products and Services,Milwaukee,Wisconsin,Cream City Venture Capital,Fiveable is an educational technology company that is committed to unlocking opportunities for young people through academic and social empowerment.,Seed
Edquity,2.4,1/7/2020,Finance,Brooklyn,New York,ECMC Foundation,"Edquity offers a suite of technology platforms that collectively provide a one-stop shop for college financial success. In higher education, the company has worked with innovative partners that include LaGuardia Community College, Nevada State College, and Palo Alto College.",Seed
Securrency ,17.65,1/8/2020,Software,Washington DC,Washington DC,WisdomTree,Securrency delivers financial technology products for the tokenized issuance and trading of securities.,A
Airway Therapeutics,15.5,1/8/2020,Biotechnology,Cincinnati,Ohio,Queen City Angels,"Airway Therapeutics is a biotechnology company in Sharonville, Ohio that is developing a unique protein replacement therapy to prevent and treat lung disease in the most vulnerable patients, beginning with premature infants with extremely low birth weight.",C
BioSkryb,11.5,1/8/2020,Biotechnology,Durham,North Carolina,Anzu Partners,"Bioskryb is a venture-backed startup bringing new solutions for cellular heterogeneity, in both the research and clinical space studies, using a proprietary genome amplification system.",Seed
Zap Surgical Systems Inc,81,1/9/2020,Medical devices and equipment,San Carlos,California,Primavera Capital Group,"ZAP Surgical Systems, Inc. designs and manufactures the ZAP-X radiosurgery platform. ",Private Equity Round
Legalpad,10,1/9/2020,Software,Seattle,Washington,Amplo,"Our mission is to make work visas fast and easy.
Built on 10+ years of getting venture-backed founders visas, Legalpad combines software and attorneys to get the world’s best entrepreneurs and technologists working in the US.",A
ClassPass,285,1/8/2020,Software,New York City,New York,Apax Digital,ClassPass is a highly effective alternative to a normal gym membership.,E
Evolv Technology,30,1/8/2020,Software,Waltham,Massachusetts,SineWave Ventures,"Evolv is the leader in Data-Driven Workforce Selection, enabling employers to improve productivity, retention, and customer satisfaction. It is the only solution that ties employee productivity data to hiring decisions, and uses this to improve the entire recruiting process. With the insight gained from on the job employee data used to calibrate workforce selection, companies can measurably improve their operations, brands and bottom lines. The solution easily adapts to changing business environments or product direction. When replacing existing screening solutions with Evolv, clients report increased employee productivity of 5-10% while improving retention by 20-30%. Combining a SaaS platform, data-driven analytics and selection science configured to client-specific KPIs, Evolv creates actionable talent intelligence. Through identifying the key traits of a company's best staff and then continually analyzing performance data from employees hired through its platform, Evolv gives organizations the ability to identify and recruit individuals who have the attitude and aptitude to succeed. Evolv delivers data-driven certainty with a streamlined process that easily integrates with existing workforce management and HRIS solutions. Visit www.evolvondemand.com or call (866) 971 4473 and follow Evolv on Twitter @evolvondemand. ",C
Virtual Incision Corp,20,1/8/2020,Medical devices and equipment,Omaha,Nebraska,Bluestem Capital,"Virtual Incision Corporation is a privately held medical device company based in Lincoln, Neb. and Pleasanton, Calif. The company's first-of-its-kind miniaturized robotically assisted surgical devices for general surgery are designed to enable a minimally invasive approach to a variety of procedures that are typically performed 'open' today, with the potential to improve clinical outcomes and health care costs.",B
nference,60,1/8/2020,Software,Cambridge,Massachusetts,Mayo Clinic Ventures,"Powered by its artificial intelligence software platform, nferX, nference's mission is to synthesize the exponentially growing biomedical knowledge. nferX uses state-of-the-art neural networks (shallow and deep learning models) for real-time, automated extraction of knowledge from the commercial, scientific and regulatory body of literature.",B
Porch,20.6,1/9/2020,Consumer Products and Services,Seattle,Washington,Watsco Ventures,"Porch is a home improvement and repair marketplace. It connects homeowners with information, inspiration, and guidance on home-projects and provides personalized professional recommendations.",C
Hitched Inc,5.5,1/8/2020,Industrial and energy,Houston,Texas,Cottonwood Venture Partners,Hitched Inc is a Houston startup that acts as a digital marketplace for industrial equipment in the oil and gas and construction industries,A
DTx Pharma,10.6,1/10/2020,Biotechnology,San Diego,California,Friedman BioVentures,DTx Pharma is developing technology that will unleash RNA-based therapeutics as the modality of choice for personalized treatment across most therapeutic areas.,A
Corvus Insurance,32,1/9/2020,Finance,Boston,Massachusetts,Telstra Ventures,Corvus Insurance is an AI-driven InsurTech company offering Smart Commercial Insurance™ policies and innovative technology that utilizes new forms of data to predict and prevent claims. Corvus is an MGA and works with brokers.,B
Element Biosciences,80,1/9/2020,Biotechnology,San Diego,California,Fidelity Management and Research Company,Element Biosciences is a multi-disciplinary life science company focused on developing disruptive DNA sequencing technology for research and diagnostic markets.,A
Tyton BioSciences,8,1/9/2020,Biotechnology,Danville,Virginia,Tin Shed Ventures,"Tyton technology is a leader in the field of apparel recycling, and we can manufacture product to replace virgin materials without added cost or compromises in quality. The tunability and flexibility of the platform makes it uniquely suitable for the varied needs of the fashion industry, where circular market solutions are in high demand.",A
Outlier,11.7,1/9/2020,Business Products and Services,Brooklyn,New York,GSV Ventures,"Outlier.org, is a NYC-based online education platform that offers online courses that earn students transferable college credit",A
Covera Health,23.5,1/9/2020,Medical devices and equipment,New York City,New York,Insight Partners,"Covera Health, a leading clinical analytics company, is pioneering quality-based solutions for payers and providers that enable the measurement and delivery of high-quality care.",B
Aligos Therapeutics Inc,125,1/10/2020,Biotechnology,San Francisco,California,Wellington Management,Aligos Therapeutics is discovering and developing new classes of compounds that interact directly with disease causing molecules. ,B
Generation Bio ,110,1/10/2020,Biotechnology,Cambridge,Massachusetts,T Rowe Price,"Generation Bio is a biotechnology company leading a new generation of re-dosable long-lasting gene therapy on a scale to potentially benefit more families living with a broader range of diseases around the world.

",C
AvidXChange,130,1/10/2020,Software,Charlotte,North Carolina,Sixth Street Partners,AvidXchange is the industry leader in?automating invoice?and?payment processes?for mid-market businesses.,F
Sisense,100,1/10/2020,Software,Redwood Shores,California,Insight Partners,"We are an innovative business intelligence (BI) software company that is leading the way into a new era of business intelligence, reporting, dashboarding and business analytics. By utilizing state-of-the-art technology and a unique business model, we aim to completely change the current reality in which only Fortune 500 companies can benefit from high-quality, scalable BI solutions. The time has come for every company to have access to full-fledged BI without compromising on functionality, scalability, manageability, flexibility, governance, collaboration or ease-of-use. We are the creators of Prism, a unique, end-to-end business intelligence software application designed to be used by people with little or no prior experience in BI development. Prism is enabled by ElastiCube technology, which is the reason we can provide enterprise-grade business intelligence to any company, of any size, with any amount of data and to any number of users - in just a matter of days. ",F
Next Level Aviation,15,1/14/2020,Finance,Sunrise,Florida,Turning Rock Partners,Next Level Aviation operator of an aviation asset trading firm intended to trade QEC and airframe rotable material for modern aircraft.,Venture Round
Vesta Healthcare,30,1/13/2020,Healthcare services,New York City,New York,Deerfield Management,"Vesta Healthcare is an industry-leading technology and clinical services organization, dedicated to connecting caregiver insights to the rest of the care team. ",A
Tradeshift,240,1/15/2020,Software,San Francisco,California,Goldman Sachs,"Tradeshift is a cloud-based platform that helps companies to improve invoicing, workflow and supplier financing processes. ",F
Color,75,1/15/2020,Biotechnology,Burlingame,California,T Rowe Price,"Color’s mission is to help people lead the healthiest lives that science and medicine can offer. We launched in April 2015 with a simple, affordable genetic test to help people understand their risk for hereditary cancer. ",D
Califia Farms,225,1/15/2020,Consumer Products and Services,Los Angeles,California,Qatar Investment Authority,"We’re Califia Farms, and our mission is to bring you delicious and mindful nourishment through California-grown fruits and nuts. We're led by beverage visionary Greg Steltenpohl, bringing you beautifully bottled goodness from the San Joaquin Valley.  ",D
Fanatiz,10,1/15/2020,Software,Miama,Florida,777 Partners ,"Fanatiz is a media streaming service. However, instead of television shows, it covers live and on-demand sporting events. ",A
seqWell,9,1/14/2020,Biotechnology,Beverly,Massachusetts,Research Corporation Technologies,seqWell is revolutionizing sequencing sample prep to unlock the full potential of today's next-gen DNA sequencing instruments.,B
Zipari Inc,22.5,1/15/2020,Software,New York City,New York,Vertical Venture Partners,"Zipari provides carriers with CX platform, a SaaS based insurance-specific consumer experience platform featuring real-time insights into consumer behavior at every touch-point, enabling member segmentation with predictive analytics and delivering recommendations to optimize the user experience.",B
Ringmaster Technologies,5,1/14/2020,Software,Cleveland,Ohio,Edison Partners,"Ringmaster Technologies provides cloud based solutions aimed at modernizing the quoting and administration processes for brokers, agencies, third-party administrators, MGUs and carriers of stop-loss policies.",A
Arpeggio Bio,3.2,1/16/2020,Biotechnology,Boulder,Colorado,Y Combinator,"Our technology combines a proprietary biological assay and machine learning algorithms that, together, enable rapid, high-resolution snapshots of cellular dynamics following drug treatment. ",Seed
Emendo Biotherapeutics,61,1/15/2020,Biotechnology,New York City,New York,AnGes Inc,"Emendo harnesses the power of synthetic biology to expand what is possible in genome-editing, treating diseases that until now have been untreatable.",B
Unest,1.5,1/16/2020,Finance,Hollywood,California,Group 11,U-Nest is on a mission to eliminate student debt and provide ?nancial products that make life better for all American families. ,Seed
Joby Aviation,590,1/16/2020,Consumer Products and Services,Santa Cruz,California,Toyota Motor Corporation,"Joby Aviation is a privately-held company headquartered in Santa Cruz, California. In 2009, leveraging the control systems and electric propulsion systems developed at Joby Energy, Joby Aviation was founded to revolutionize how we commute. Joby Aviation's strengths in composite airframe design and fabrication, high-fidelity aerodynamic analysis, and through the sister company Joby Motors, high-performance electric motor design and fabrication, place it in a unique position to create a new generation of electric personal aircraft.",C
Good Catch,32,1/16/2020,Consumer Products and Services,Newtown,Pennsylvania,Roscana Venture Partners,"At Good Catch, we are passionate culinary rebels with a cause—seafood without sacrifice. We create the best plant-made, chef-mastered delicacies you’ll ever taste.",B
Workboard Inc,30,1/16/2020,Software,Palo Alto,California,Andreessen Horowitz,"With its status transparency and reporting app, Workboard Inc. drives step-change improvements in productivity and execution velocity.

",C
VNN,3.7,1/16/2020,Media and entertainment,Grand Rapids,Michigan,Arsenal Ventures,"The largest, fastest-growing high school sports marketing and media network. ",Venture Round
CellFE,3.6,1/16/2020,Biotechnology,San Carlos,California,Cota Capital,"CellFE, Inc. is a privately held, early-stage company focused on the application of microfluidics in the process of delivering gene-editing molecules into human cells.",Seed
Health Scholars,17,1/17/2020,Healthcare services,Westminster,Colorado,Aboretum Ventures,"Health Scholars is transforming clinical education and training. Our mission is to advance healthcare education through virtualization, making experience-based training scalable, accessible and affordable to both Healthcare and Public Safety providers. ",B
Fishbowl,5.3,1/17/2020,Consumer Products and Services,Alexandria,Virginia,GGV Capital ,"Fishbowl has partnered with thousands of restaurants to help them create data-directed marketing campaigns and menu pricing solutions that keep their guests connected, informed, and coming back.",Venture Round
Oculogica ,8,1/16/2020,Medical devices and equipment,New York City,New York,TitletownTech,"Oculogica Inc. is an eye tracking-based, neuro-diagnostic company founded by Dr. Uzma Samadani, a neurosurgeon at Centracare and the Minneapolis VA Medical Center, and Associate Professor of Bioinformatics and Computational Biology at the University of Minnesota School of Engineering.",A
SpinLaunch,35,1/17/2020,Industrial and energy,Silicon Valley,California,Airbus Ventures,SpinLaunch creates a much cheaper and sustainable way to get things like satellites from earth into space.,Venture Round
Phenom People,30,1/17/2020,Software,Ambler,Pennsylvania,Westbridge Capital,The Phenom People team is an energetic blend of talented people with diverse backgrounds. Our leadership team has decades of experience in the recruiting and talent acquisition field and puts that knowledge to use on a daily basis to create and improve the Phenom People technology. ,C
LOLIWARE,6,1/20/2020,Consumer Products and Services,New York City,New York,Hatzimemos / Libby ,"LOLIWARE is the world’s first edible bioplastics company dedicated to replacing plastic with hypercompostable, edible materials derived from seaweed.",Seed
TestFit,2,1/17/2020,Software,Dallas,Texas,Parkway Ventuere Capital,TestFit combines user knowledge with proprietary AI algorithms to provide a multifamily prototyping solution which uses generative design that produces results in seconds.,Seed
Vivante Health,5.8,1/20/2020,Healthcare services,Houston,Texas,Big Pi Ventures,"We’re an innovative digital health company reinventing the way chronic conditions are managed, gut first.",A
ActionIQ,32,1/20/2020,Software,New York City,New York,March Capital Partners,"ActionIQ is the leading enterprise Customer Data Platform, solving the biggest problem marketers facE",C
Berkshire Grey,263,1/21/2020,Software,Lexington,Massachusetts,Softbank,"At Berkshire Grey, our game-changing solutions combine AI and Robotics to automate omni-channel fulfillment for retailers, eCommerce, and logistics enterprises serving today’s connected consumers.",B
Circonus,6.8,1/21/2020,Software,Fulton,Maryland,Osage Venture Partners,"Circonus is the machine data intelligence expert, providing the only machine data intelligence platform capable of handling billions of metric streams in real time to drive unprecedented business insight and value.",A
Simfoni,3,1/22/2020,Software,Chicago,Illinois,BOOST&Co,Simfoni delivers next-generation digital transformation through spend analytics & buying automation.,A
Luxury Brand Partners,50,1/22/2020,Retailing and distribution,Miami,Florida,Bookend Capital,"Luxury Brand Partners develops and nurtures prestige artist-driven beauty brands, with a focus on innovation and a passion for the creative mind.",Venture Round
Cann,5,1/23/2020,Consumer Products and Services,Los Angeles,California,Imaginary Ventures,Cann is a (highly) social cannabis company. We create products with approachable doses of THC and CBD that are actually delicious. Our social tonics are the first sessionable cannabis-infused beverages. ,Seed
Memphis Meats ,161,1/23/2020,Consumer Products and Services,San Francisco,California,Softbank,Memphis Meats is a startup developing meat produced directly from animal cells without the need to raise and slaughter actual animals.,B
LaunchDarkly,54,1/22/2020,Software,San Francisco,California,Bessemer Venture Partners - Bloomberg Beta - Redpoint Ventures - Threshold Ventures - Uncork Capital - Vertex Ventures ,LaunchDarkly gives product managers total control of their features. Turn features on and off for who you want from our easy to use dashboard without waiting for engineering. ,Venture Round
Catalant,35,1/22/2020,Software,Boston,Massachusetts,Goldfinch Partners,"Catalant provides software and services for work planning, resource management, and insights and reporting. ",E
Locale,2.5,1/22/2020,Media and entertainment,Austin,Texas,Amplo,"A brand of boutique aparthotels in Austin, Houston & Nashville",A
vChain,7,1/23/2020,Software,Houston,Texas,Elaia,CodeNotary brings trust to DevOps. It delivers blockchain-protected identity and integrity at every stage of the development process.,A
Clubhouse Software,25,1/23/2020,Software,New York City,New York,Greylock Partners,Clubhouse is the collaborative home for software development that makes it easier and more enjoyable to plan and build with your teams.,B
DoctorLogic,7,1/23/2020,Software,Plano,Texas,Unbundled Capital ,"DoctorLogic is an all-in-one website marketing platform created exclusively for healthcare providers. The DoctorLogic software was invented to power custom-designed websites for patient acquisition, retention marketing, and practice insights that help providers connect with more people.",A
Beacon ,20,1/24/2020,Software,New York City,New York,Centana Growth Partners,"Beacon is a cloud-based platform designed to empower developers, quants, data scientists and business users to scale technology and achieve their business goals. ",B
LogiNext,39,1/24/2020,Software,Mountain View,California,Tiger Global Management,"LogiNext helps logistics companies to improve their internal operations, optimize delivery networks and provide superior customer service using data collection, advanced analytics and visualization. LogiNext currently serves medium and large scale enterprises in unorganized and emerging markets.",B
Neocova,9.5,1/24/2020,Software,St Louis,Missouri,Kearny Bank,"Neocova is a financial technology firm headquartered in St. Louis with operations in New York. Neocova offers artificial intelligence, analytics and other cloud-based systems that enable financial institutions to operate more efficiently, effectively and securely by removing the stresses of managing complex systems and complicated contracts.",A
Quench Bio,50,1/27/2020,Biotechnology,Cambridge,Massachusetts,RA Capital Management,Quench Bio is a biotechnology company leveraging new insights into gasdermin biology and innate immunity to develop medicines for severe inflammatory diseases. ,A
FloQast,40,1/26/2020,Software,Los Angeles,California,Norwest Venture Partners ,FloQast is group of audit and accounting nerds with a passion for closing the books faster. We have created a simple solution for the complex problem of the month-end close.  ,C
Soft Robotics ,23,1/24/2020,IT services,Cambridge,Massachusetts,Calibrate Ventures,"Soft Robotics designs and builds soft robotic gripping systems and automation solutions that can grasp and manipulate items of varying size, shape and weight. Today, the company is a global enterprise solving previously off-limits automation challenges for customers in food & beverage, advanced manufacturing and e-commerce.",B
Monsido,16.9,1/27/2020,Software,San Diego,California,Level Equity Management,Monsido is a software company that provides a web governance solution designed to give website visitors a superior browsing experience.,Venture Round
Yogi,2.3,1/27/2020,Software,New York City,New York,RTP Ventures,Yogi provides a platform that – centered on advanced and scalable natural language processing algorithms – provides granular analysis of unstructured customer feedback regardless of volume or source. ,Seed
Gravyty,21,1/27/2020,Software,Newton,Massachusetts,K1 Investment Management,Gravyty helps nonprofit organizations raise more money by increasing their fundraisers’ efficiency with actionable data analytics and artificial intelligence.,Private Equity Round
MURAL,23,1/27/2020,Software,San Francisco,California,Gradient Ventures,MURAL is for activating team members throughout your organization and visually collaborating together to solve problems and create impact across your organization.,A
Triggermesh,3,1/27/2020,Software,Cary,North Carolina,Crane Venture Partners,Triggermesh develops a serverless management platform for managing functions and event triggers,Seed
Ulab Systems,18,1/27/2020,Software,Redwood City,California,Park West Asset Management,uLab has innovated the next generation of smile technology. Create aligner movement plans in as little as 10 minutes and print custom aligners the same day — right in your office. Our breakthrough software offers full control over your treatment plans and works with the intra-oral scanner and 3D printer of your choice.,D
ToDoolie,0.425,1/27/2020,Software,Detroit,Michigan,Techstars Chicago,ToDoolie is a social platform that allows users to hire local students to help with simple outdoor tasks.,Pre-seed
Life House,30,1/27/2020,Media and entertainment,New York City,New York,Thayer Ventures,"Life House is a vertically integrated, modern lifestyle hotel management, development and technology company. We develop, brand, and manage hotels that are powered with our proprietary technology and brilliant team.",B
OLIPOP,10,1/29/2020,Consumer Products and Services,Oakland,California,Boulder Food Group,"We’re witnessing a mass extinction of our microbes: the quantity and complexity of the bacteria in our digestive tract is estimated by Stanford researchers to have declined by 50% over the last 100 years, due in large part to the processed and hybridized Western Diet and antibiotic excess. ",A
Xpansiv Cbl Holding Group,25,1/29/2020,Software,San Francisco,California,BP Ventures,"Xpansiv CBL Holding Group (XCHG) is the world’s first commodity exchange built for a new asset class: data. We bring transparency to the market by recording real-world characteristics in an immutable profile, empowering informed decision-making and commodity differentiation. ",Venture Round
Wheel,13.9,1/29/2020,Software,Austin,Texas,CRV,"Wheel provides healthcare companies with a tech-enabled platform to scale virtual care offerings compliantly, and access to a flexible workforce of specialized virtual care clinicians.",A
DrChrono,20,1/29/2020,Medical devices and equipment,Sunnyvale,California,ORIX Growth Capital,"drchrono addresses the needs of today's healthcare ecosystem environment by providing an EHR platform with a focus on the iPad. We provide a cloud and web based Electronic Health Record access, including iPad and iPhone apps. ",Debt Financing
Tyra Biosciences,50,1/29/2020,Biotechnology,Carlsbad,California,Alta Partners,Tyra Biosciences is a biotechnology company targeting new pathways of acquired resistance in oncology with purpose-built drugs.,A
Aumni,10,1/29/2020,Software,Salt Lake City,Utah,SVB Financial Group,"Aumni provides investors in private capital markets with a SaaS platform that extracts, audits, and tracks thousands of investment data points directly from definitive investment agreements.",A
Defendify,2,1/28/2020,Software,Portland,Maine,3dot6 Ventures,Defendify provides a SaaS cybersecurity platform for small businesses and channel partners to get multiple layers of ongoing protection to continuously their improve security posture.,Seed
P2 Science ,12,1/28/2020,Industrial and energy,New Haven,Connecticut,CHANEL,"Led by Neil A. Burns, CEO, P2 Science has developed a novel chemical process, known as hybrid ozonolysis, to convert biomass into aldehydes for use in fragrances and flavors, di-acids for use in cosmetics and polymers, and derivatives of aldehydes, such as alcohols, esters and surfactants, for use in cosmetics, personal care products and lubricants.
The company has licensed some of its intellectual property from Yale University and has established a collaborative relationship with the University of Alberta.",C
The Financial Gym,6,1/28/2020,Finance,New York City,New York,VanEck,"Financial Gym takes a fitness-inspired approach to finances, teaching you to make smarter money choices that add up over time.",A
Whip Media Group,50,1/29/2020,Media and entertainment,Los Angeles,California,Eminence Capital,"The Whip Media Group companies track billions of consumer actions and financial transactions, accelerating innovation for buyers and sellers of content",D
Otter.ai,10,1/29/2020,Software,Los Altos,California,Slow Ventures,Otter.ai creates technologies and products that make information from important voice conversations instantly accessible and actionable.,B
RedShift Bioanalytics,18,1/30/2020,Biotechnology,Burlington,Massachusetts,Waters Corporation,"RedShift Bioanalytics (formerly known as RedShift Systems), a biotech startup and a provider of innovative analytical solutions for protein characterization used in biotherapeutic drug development",D
Attentive,70,1/30/2020,Software,New York City,New York,Sequoia Capital,Attentive is a personalized mobile messaging platform that helps innovative brands & organizations connect with consumers in a new way.,C
Hunt & Sons ,75,1/30/2020,Business Products and Services,Sacramento,California,White Oak Capital Management,"Hunt & Sons, Inc. is a California-based petroleum products distributor. Operating from its headquarters in Sacramento, Hunt & Sons, Inc. family-owned business, and has been in operation for more than 70 years. ",Debt Financing
Axle,1.4,1/30/2020,Software,New York City,New York,Trucks Venture Capital,"Axle is the only integrated payments, collections, and financing solution for small freight brokers.",Pre-seed
Roambee,15.2,1/29/2020,Software,Santa Clara,California,Anchor Group,"The Roambee Corporation is a Silicon Valley company transforming enterprise logistics and asset management outside the four walls of global enterprise. Founded in 2013, Roambee is the first Internet of Things smart logistics and asset management company that delivers on-demand real-time visibility, tracking, and condition monitoring for goods and assets in-transit and in-field.",B
HeyMama,2,1/29/2020,Business Products and Services,New York City,New York,Rebecca Minkoff,"HeyMama is the most badass league of mom-bosses you know. Whether they are advisors, executives, founders, or CEOs, our application-based membership provides support, connection, and collaboration for working mothers at every life stage.",Seed
OpsRamp,37.5,1/30/2020,Software,San Jose,California,Morgan Stanley Expansion Capital,"OpsRamp is the service-centric AIOps platform that helps enterprise IT teams control the chaos by discovering, managing and consolidating cloud and on-premise infrastructure into one digital operations command center.",C
AeroAggregates,24,1/29/2020,Industrial and energy,Eddystone,Pennsylvania,Valterra Partners Llc ,"Based in Eddystone, Pennsylvania, AeroAggregates of North America is a vertically?integrated manufacturer of ultra?lightweight, closed cell foamed glass aggregate (“FGA”) used in the construction and geotechnical engineering industries. ",
Proguides,5,1/29/2020,Media and entertainment,Santa Monica,California,M13,ProGuides produces curriculum-based and video-led content that introduces new players to competitive games or helps established gamers elevate their skill with hyper-focused and highly visualized instruction. ,Seed
IDbyDNA,20,1/29/2020,Biotechnology,San Francisco,California,Artis Ventures,IDbyDNA has developed transformative metagenomics technology to simultaneously profile tens of thousands of microorganisms and pathogens in any sample,B
Mercado Labs,3.2,1/31/2020,Software,Dallas,Texas,LiveOak Venture Partners,Mercado is a cloud-based platform that helps businesses to connect to everyone involved in their supply chain.,Seed
Appharvest,11,1/31/2020,Industrial and energy,Morehead,Kentucky,Equilibrium Capital,AppHarvest is building some of America's largest controlled-environment agriculture facilities in Appalachia.,Venture Round
Spatial,14,1/30/2020,Software,New York City,New York,White Star Capital,"Spatial's mission is to empower people to be more connected, creative, and productive.",A
Mammoth Biosciences,45,1/30/2020,Biotechnology,San Francisco,California,Decheng Capital,Mammoth Biosciences is a biotech company that has developed the world’s first and only CRISPR-based detection platform capable of sensing any biomarker or disease with DNA/RNA.,B
Alto Pharmacy,250,1/30/2020,Biotechnology,San Francisco,California,SoftBank,"Alto Pharmacy is a patient-centric digital pharmacy that provides same-day, free delivery, seven days a week for prescriptions, offering cost transparency, personalized in-app and phone support, and real-time coordination with doctors and insurance companies.",D
Stoplight,6,1/30/2020,Software,Austin,Texas,Bill Wood Ventures,"Stoplight provides engineering teams with a new way to document, test, and build web APIs. Our technology easily and automatically maps an API, and then provides tooling and services to reduce development time, and increase reliability and accessibility.",A
Alto,6,1/31/2020,Software,Dallas,Texas,Tuesday Capital,"Alto manages and operates its dedicated fleet of SUVs. Alto’s features include in-app music, lighting, and conversation controls, as well as app-enabled vehicle identification, via exterior vehicle lighting.",Venture Round
Lily AI,12.5,1/31/2020,Software,Mountain View,California,Canaan Partners,Lily AI helps brands and retailers understand shoppers' emotional context,A
Gabi,27,1/31/2020,Software,San Francisco,California,Mubadala Capital,"Gabi is reinventing the insurance broker model with technology, data, and human interaction. Gabi’s proprietary quoting flow allows you to connect your existing auto or home insurance account or upload a PDF of your policy",B
OpenPhone,2,1/31/2020,Software,Santa Clara,California,Slow Ventures, OpenPhone is building a phone system for small business owners to communicate effectively with their customers. ,Seed
Policygenius,100,2/2/2020,Consumer Products and Services,Brooklyn,New York,Kohlberg Kravis Roberts,"PolicyGenius, based in Brooklyn, NY, was founded in 2014 by two former McKinsey consultants who saw a gap in the insurance industry and dedicated themselves to shifting the industry online and into the hands of the consumer. 

",D
Activecampaign,100,2/4/2020,Software,Chicago,Illinois,Susquehanna Growth Equity,"ActiveCampaign gives you the email marketing, marketing automation, and CRM tools you need to create great customer experiences.",B
No Magic,8.6,2/4/2020,Software,Allen,Texas,DN Capital,"No Magic, Inc. is a software company that develops solutions in the areas of object oriented design and development.",Venture Round
Hinge Health,90,2/5/2020,Healthcare services,San Francisco,California,Bessemer Venture Partners,"We're a diverse and potent team of scientists, medical professionals & engineers on a mission to tackle one of the toughest issues facing healthcare today. ",C
Solaborate ,10,2/4/2020,Software,Los Angeles,California,Demant A/S,"Solaborate, is all in one communication and collaboration platform company",A
Retina AI,2.5,2/5/2020,Software,Santa Monica,California,Crosscut Ventures ,"Retina sets you up to experiment faster, with less friction. We help you uncover new revenue opportunities, and deliver AI-powered recommendations to focus your budget on strategies with the highest impact.",Venture Round
Flexport,1000,2/5/2020,Software,San Francisco,California,SoftBank,"Flexport provides businesses with global logistics services including air freight, ocean freight, trucking, cargo insurance, and customs brokerage",D
